id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
5997,Ackley,Franklin County / Hardin County,IA,Iowa,50601,City,42.55170,-93.05227,641,1546,750,44063,6345496,87634,America/Chicago
5998,Ackworth,Warren County,IA,Iowa,50001,City,41.36694,-93.47271,515,86,18,40000,756303,0,America/Chicago
5999,Adair,Adair County / Guthrie County,IA,Iowa,50002,City,41.50015,-94.64295,641,716,387,48188,5692351,43131,America/Chicago
6000,Adel,Dallas County,IA,Iowa,50003,City,41.61443,-94.01745,515,4293,1591,56319,12128962,45774,America/Chicago
6001,Afton,Union County,IA,Iowa,50830,City,41.02749,-94.19801,641,832,411,42137,2555195,0,America/Chicago
6002,Agency,Wapello County,IA,Iowa,52530,City,40.99502,-92.30685,641,635,302,37857,1683184,0,America/Chicago
6003,Ainsworth,Washington County,IA,Iowa,52201,City,41.28891,-91.55238,319,584,185,42212,968090,0,America/Chicago
6004,Akron,Plymouth County,IA,Iowa,51001,City,42.82888,-96.55948,712,1465,615,41161,3204051,0,America/Chicago
6005,Albert City,Buena Vista County,IA,Iowa,50510,City,42.78192,-94.94860,712,685,274,44342,1410863,0,America/Chicago
6006,Albia,Monroe County,IA,Iowa,52531,City,41.02667,-92.80575,641,3785,1603,44230,8252356,0,America/Chicago
6007,Albion,Marshall County,IA,Iowa,50005,City,42.11249,-92.98853,641,469,196,53750,1541417,0,America/Chicago
6008,Alburnett,Linn County,IA,Iowa,52202,City,42.14833,-91.61851,319,699,224,66875,2119208,6646,America/Chicago
6009,Alden,Hardin County,IA,Iowa,50006,City,42.52026,-93.37604,515,762,321,48173,4424406,39849,America/Chicago
6010,Alexander,Franklin County,IA,Iowa,50420,City,42.80580,-93.47659,641,168,63,39375,11054932,0,America/Chicago
6011,Algona,Kossuth County,IA,Iowa,50511,City,43.06997,-94.23302,515,5515,2532,50512,11654201,16085,America/Chicago
6012,Alleman,Polk County,IA,Iowa,50007 / 50244,City,41.81999,-93.61161,515,455,182,81818,6995552,0,America/Chicago
6013,Allerton,Wayne County,IA,Iowa,50008,City,40.70640,-93.36521,641,502,207,39688,2948535,1619,America/Chicago
6014,Allison,Butler County,IA,Iowa,50602,City,42.75275,-92.79519,319,1013,468,52750,7593442,0,America/Chicago
6015,Alta,Buena Vista County,IA,Iowa,51002,City,42.67359,-95.29055,712,1933,827,46458,2791436,0,America/Chicago
6016,Alta Vista,Chickasaw County,IA,Iowa,50603,City,43.19858,-92.41712,641,260,126,40000,1957220,0,America/Chicago
6017,Alton,Sioux County,IA,Iowa,51003,City,42.98749,-96.01057,712,1271,503,62232,4923621,0,America/Chicago
6018,Altoona,Polk County,IA,Iowa,50009 / 50035 / 50317 / 50327,City,41.64416,-93.46466,515,17938,5928,69748,24306270,0,America/Chicago
6019,Alvord,Lyon County,IA,Iowa,51230,City,43.34220,-96.30114,712,204,88,53750,712754,0,America/Chicago
6020,Amana,Iowa County,IA,Iowa,52203 / 52204,CDP,41.80001,-91.87073,319,334,187,68625,2917043,0,America/Chicago
6021,Ames,Story County,IA,Iowa,50010 / 50011 / 50012 / 50013 / 50014,City,42.03471,-93.61994,515,66191,24004,41616,64894500,521634,America/Chicago
6022,Anamosa,Jones County,IA,Iowa,52205,City,42.10834,-91.28516,319,5430,1882,41092,6536790,23963,America/Chicago
6023,Anderson,Fremont County,IA,Iowa,51652,CDP,40.80139,-95.60416,712,12,0,43531,851814,0,America/Chicago
6024,Andover,Clinton County,IA,Iowa,52701,City,41.97919,-90.25180,563,99,33,54063,496217,0,America/Chicago
6025,Andrew,Jackson County,IA,Iowa,52030,City,42.15363,-90.59235,563,423,152,44583,690480,0,America/Chicago
6026,Anita,Cass County,IA,Iowa,50020,City,41.44527,-94.76470,712,943,418,40429,4606516,0,America/Chicago
6027,Ankeny,Polk County,IA,Iowa,50021 / 50023 / 50226 / 50313,City,41.72971,-93.60577,515,58627,19569,75465,76091403,0,America/Chicago
6028,Anthon,Woodbury County,IA,Iowa,51004,City,42.38832,-95.86668,712,566,287,37159,1828415,0,America/Chicago
6029,Aplington,Butler County,IA,Iowa,50604,City,42.58415,-92.88436,319,1068,454,51838,2156758,0,America/Chicago
6030,Arcadia,Carroll County,IA,Iowa,51430,City,42.08721,-95.04610,712,467,193,54010,2549298,0,America/Chicago
6031,Archer,O'Brien County,IA,Iowa,51231,City,43.11526,-95.74585,712,127,64,46667,243141,0,America/Chicago
6032,Aredale,Butler County,IA,Iowa,50605,City,42.83303,-93.00547,641,73,28,25000,2569353,0,America/Chicago
6033,Arion,Crawford County,IA,Iowa,51520 / 51528,City,41.94916,-95.46361,712,106,67,40750,1229681,0,America/Chicago
6034,Arispe,Union County,IA,Iowa,50830 / 50831 / 50861,City,40.94944,-94.21912,641,99,34,36000,1338961,3486,America/Chicago
6035,Arlington,Fayette County,IA,Iowa,50606,City,42.74915,-91.67127,563,406,214,41500,2715152,0,America/Chicago
6036,Armstrong,Emmet County,IA,Iowa,50514,City,43.39607,-94.47831,712,885,404,47000,2267792,0,America/Chicago
6037,Arnolds Park,Dickinson County,IA,Iowa,51331 / 51351,City,43.37274,-95.12388,712,1256,597,46518,4076176,2069,America/Chicago
6038,Arthur,Ida County,IA,Iowa,51431,City,42.33471,-95.34750,712,203,92,40833,393675,0,America/Chicago
6039,Asbury,Dubuque County,IA,Iowa,52002,City,42.51445,-90.75152,563,5475,1696,89559,8195689,0,America/Chicago
6040,Ashton,Osceola County,IA,Iowa,51232,City,43.31136,-95.79113,712,423,211,46250,2569893,13744,America/Chicago
6041,Aspinwall,Crawford County,IA,Iowa,51432 / 51455,City,41.91193,-95.13555,712,39,10,57500,460078,0,America/Chicago
6042,Atalissa,Muscatine County,IA,Iowa,52720,City,41.57114,-91.16599,563,306,124,57500,360411,0,America/Chicago
6043,Athelstan,Taylor County,IA,Iowa,50836,CDP,40.57224,-94.54220,641,45,13,35594,336999,0,America/Chicago
6044,Atkins,Benton County,IA,Iowa,52206,City,41.99694,-91.86213,319,1846,659,84917,2829789,0,America/Chicago
6045,Atlantic,Cass County,IA,Iowa,50022,City,41.40360,-95.01388,712,6659,3291,37397,21539909,85504,America/Chicago
6046,Auburn,Sac County,IA,Iowa,51433,City,42.25137,-94.87776,712,311,125,38021,1289829,0,America/Chicago
6047,Audubon,Audubon County,IA,Iowa,50025,City,41.71804,-94.93249,712,1970,955,37983,4872820,0,America/Chicago
6048,Aurelia,Cherokee County,IA,Iowa,51005,City,42.71276,-95.43667,712,990,440,50556,2627290,0,America/Chicago
